lottery_type,period_id,front_1,front_2,front_3,front_4,front_5,back_1,back_2
dlt,8135,7,22,25,29,33,1,12
dlt,8136,3,28,29,32,34,1,6
dlt,8137,1,10,25,32,35,5,9
dlt,8138,4,5,18,22,35,7,8
dlt,8139,1,6,10,14,22,6,8
dlt,8140,2,9,11,29,32,8,9
dlt,8141,9,15,18,30,34,4,5
dlt,8142,6,18,21,30,35,8,9
dlt,8143,1,2,22,29,32,1,4
dlt,8144,10,19,27,28,33,5,12
dlt,8145,5,16,27,29,30,5,11
dlt,8146,9,23,24,26,33,7,12
dlt,8147,16,18,19,24,35,11,12
dlt,8148,3,7,20,33,35,4,7
dlt,8149,2,5,6,27,29,3,4
dlt,8150,1,9,10,15,25,3,8
dlt,8151,7,10,27,31,34,8,9
dlt,8152,3,5,14,20,33,7,11
dlt,8153,2,4,6,25,26,2,5
dlt,8154,5,7,10,29,32,4,6
dlt,9001,1,15,23,27,30,4,10
dlt,9002,1,4,7,12,30,5,10
dlt,9003,16,18,23,30,32,2,11
dlt,9004,1,3,22,32,35,6,10
dlt,9005,10,11,15,31,32,5,8
dlt,9006,2,4,22,31,35,9,12
dlt,9007,6,14,15,29,35,6,11
dlt,9008,4,17,21,29,31,2,12
dlt,9009,12,18,23,26,32,6,9
dlt,9010,2,9,12,21,29,7,11
dlt,9011,2,11,13,14,21,2,4
dlt,9012,2,5,20,25,31,10,12
dlt,9013,5,24,26,30,35,5,12
dlt,9014,8,14,15,25,26,7,9
dlt,9015,1,5,10,16,27,3,4
dlt,9016,10,11,20,26,27,9,11
dlt,9017,5,11,23,26,33,4,12
dlt,9018,1,6,13,28,29,3,9
dlt,9019,4,29,31,32,35,4,10
dlt,9020,5,16,18,32,35,2,11
dlt,9021,1,15,31,32,34,3,8
dlt,9022,12,14,17,34,35,4,11
dlt,9023,15,17,21,27,33,7,11
dlt,9024,29,31,32,33,35,10,11
dlt,9025,3,17,22,23,33,4,10
dlt,9026,24,30,31,32,34,10,12
dlt,9027,3,22,26,33,34,9,10
dlt,9028,6,20,30,32,35,9,11
dlt,9029,3,4,13,17,24,4,11
dlt,9030,1,7,27,30,32,1,4
dlt,9031,7,11,19,21,22,1,11
dlt,9032,4,12,20,26,29,6,10
dlt,9033,2,8,18,21,32,8,11
dlt,9034,5,19,31,32,35,4,9
dlt,9035,3,7,9,28,33,3,8
dlt,9036,2,12,26,31,33,9,10
dlt,9037,17,18,19,25,31,1,11
dlt,9038,6,17,20,29,32,4,5
dlt,9039,1,3,7,10,33,3,4
dlt,9040,3,16,30,32,33,1,10
dlt,9041,5,9,20,23,29,4,10
dlt,9042,11,24,25,26,31,2,7
dlt,9043,5,21,22,32,35,2,5
dlt,9044,1,7,18,29,34,3,9
dlt,9045,1,9,14,24,35,6,9
dlt,9046,1,9,24,34,35,4,9
dlt,9047,13,18,21,24,29,3,6
dlt,9048,5,6,22,25,27,11,12
dlt,9049,5,16,28,29,34,11,12
